,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,3000,95,2,313.55,309.58,0.6,9.34,14.06
1,6000,95,2,174.61,207.41,0.6,21.66,38.67
2,9000,95,2,168.93,173.12,0.6,16.73,64.8
3,12000,95,2,134.69,132.91,0.6,15.58,7.57
4,15000,95,2,170.09,234.39,0.6,82.51,23.86
5,18000,95,2,98.46,139.12,0.6,37.86,5.8
6,21000,95,2,106.99,144.01,0.6,19.63,17.34
7,24000,95,2,126.05,192.46,0.6,29.71,58.05
8,27000,95,2,98.79,120.1,0.6,36.7,55.71
9,30000,95,2,94.39,102.29,0.6,34.61,17.0
10,33000,95,2,99.51,125.64,0.6,37.18,17.16
11,36000,95,2,100.84,143.71,0.6,38.24,17.17
12,39000,95,2,100.06,142.9,0.6,37.47,17.21
13,42000,95,2,97.49,124.82,0.6,41.05,17.27
14,45000,95,2,96.85,131.88,0.6,33.03,17.11
15,48000,95,2,97.46,142.14,0.6,48.34,55.99
16,51000,95,2,99.13,142.14,0.6,40.78,55.93
