scorer,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,127.17249298095703,80.7734146118164,0.9999998807907104,78.2704849243164,62.20241165161133,0.00045086813042871654,202.08016967773438,67.82929229736328,1.0,142.69891357421875,96.3681640625,0.0007847310625948012,206.94122314453125,175.9171600341797,1.0,151.81265258789062,108.16118621826172,1.0,128.63865661621094,141.4600830078125,0.9999818801879883,152.3766326904297,141.19224548339844,0.9999982118606567,121.10673522949219,184.10986328125,0.9999555349349976,161.1710205078125,183.094482421875,0.9999790191650391,32.13820266723633,96.0165023803711,0.9999982118606567,28.739986419677734,142.1623992919922,0.9999963045120239,42.323612213134766,161.8894500732422,0.9999988079071045,62.655086517333984,162.5286865234375,0.9999959468841553,33.500648498535156,181.0701446533203,0.9999872446060181,70.33235168457031,190.19593811035156,0.9999940395355225
1,127.35353088378906,81.55598449707031,0.9999998807907104,78.34540557861328,61.91214370727539,0.0002350470604142174,202.71514892578125,68.53595733642578,1.0,142.24794006347656,96.65840148925781,0.0007205835427157581,208.18692016601562,176.8594207763672,1.0,151.35848999023438,108.73728942871094,1.0,128.11593627929688,141.74691772460938,0.9999310970306396,152.4169464111328,141.737060546875,0.9999985694885254,120.00782775878906,183.40145874023438,0.9999532699584961,160.32949829101562,183.5860137939453,0.9999775886535645,31.177682876586914,95.03739929199219,0.9999991655349731,29.449092864990234,140.3892822265625,0.9999942779541016,40.33039855957031,160.2294158935547,0.9999967813491821,60.533878326416016,162.13307189941406,0.9999898672103882,32.25153350830078,178.78890991210938,0.999995231628418,68.3603515625,191.27957153320312,0.9999932050704956
2,127.07686614990234,82.29593658447266,0.9999998807907104,78.56816864013672,61.70609664916992,0.00019858103769365698,203.0993194580078,69.76884460449219,1.0,144.99403381347656,100.08354949951172,0.0005482761189341545,209.41993713378906,178.7799072265625,1.0,150.618896484375,109.65029907226562,1.0,125.66686248779297,142.2711639404297,0.999811589717865,152.34471130371094,142.7742919921875,0.9999988079071045,119.08838653564453,182.8477783203125,0.9999743700027466,160.38046264648438,184.35914611816406,0.9999146461486816,30.736061096191406,93.65818786621094,0.9999991655349731,29.260353088378906,138.33261108398438,0.9999873638153076,37.76308822631836,158.67274475097656,0.9999958276748657,56.736351013183594,162.26243591308594,0.9999943971633911,28.870817184448242,177.5133819580078,0.9999948740005493,65.9236831665039,192.0154266357422,0.9999833106994629
3,127.326904296875,83.32952117919922,0.9999998807907104,78.6243896484375,61.808021545410156,0.00034796210820786655,203.12596130371094,70.48604583740234,1.0,144.38426208496094,100.28700256347656,0.0003970756661146879,212.32464599609375,179.08018493652344,1.0,150.11434936523438,110.5422592163086,1.0,124.08975982666016,142.46083068847656,0.999876856803894,151.84512329101562,142.08445739746094,0.9999973773956299,117.2740249633789,181.8467254638672,0.9999366998672485,156.00953674316406,184.52645874023438,0.9990907907485962,30.687833786010742,92.93390655517578,0.9999992847442627,28.661590576171875,137.5270233154297,0.9999896287918091,37.735633850097656,157.1316375732422,0.9999961853027344,55.26512908935547,160.92459106445312,0.9999473094940186,26.707666397094727,176.09779357910156,0.9999743700027466,64.02574920654297,192.08724975585938,0.9998514652252197
4,127.74748229980469,83.62043762207031,0.9999998807907104,82.1585922241211,62.786128997802734,0.0002452541666571051,203.53665161132812,71.77052307128906,1.0,144.73638916015625,100.24124908447266,0.0004936147015541792,212.90296936035156,180.09634399414062,1.0,150.77938842773438,111.1495361328125,0.9999998807907104,123.9981918334961,142.50843811035156,0.9998584985733032,151.33627319335938,143.38626098632812,0.9999932050704956,155.9227752685547,189.67962646484375,0.9997534155845642,149.84739685058594,184.54168701171875,0.9974822402000427,30.595142364501953,91.3456802368164,0.9999988079071045,28.587678909301758,137.3994598388672,0.9999761581420898,37.47943115234375,156.86941528320312,0.9999970197677612,55.70883560180664,160.615234375,0.9999525547027588,23.839824676513672,174.47242736816406,0.9999303817749023,58.288848876953125,190.996826171875,0.9994496703147888
5,127.82416534423828,82.63678741455078,0.9999998807907104,143.24093627929688,80.14749908447266,0.00023510064056608826,203.69491577148438,72.16969299316406,1.0,144.44947814941406,99.94691467285156,0.0003589186235330999,213.04283142089844,179.9045867919922,1.0,150.42987060546875,110.88636779785156,1.0,124.00325775146484,141.7316131591797,0.9999076128005981,150.37417602539062,142.73243713378906,0.9999938011169434,150.89212036132812,189.62770080566406,0.99978107213974,112.00312042236328,171.05426025390625,0.9959865212440491,30.64336585998535,90.66531372070312,0.9999980926513672,28.037979125976562,137.73828125,0.9999707937240601,37.664085388183594,157.48252868652344,0.999991774559021,54.469337463378906,160.6498565673828,0.999818742275238,25.172502517700195,173.03042602539062,0.9998364448547363,54.74775695800781,190.9200897216797,0.9997546076774597
6,127.80474090576172,80.91201782226562,0.9999998807907104,139.0142364501953,77.60061645507812,0.00014982269203756005,203.89346313476562,71.99007415771484,1.0,103.58389282226562,161.75636291503906,0.0005074096843600273,212.45278930664062,179.38580322265625,1.0,150.960693359375,109.97505950927734,1.0,123.86538696289062,141.34335327148438,0.9997448325157166,148.80076599121094,142.71670532226562,0.9999765157699585,146.39822387695312,190.5459442138672,0.9998397827148438,146.586181640625,186.26040649414062,0.9964081645011902,30.66571617126465,89.70349884033203,0.9999970197677612,28.93052864074707,138.44708251953125,0.9999412298202515,41.59822463989258,159.8282470703125,0.9999401569366455,54.7198371887207,159.45346069335938,0.9969344139099121,27.94092559814453,173.18455505371094,0.9999357461929321,54.3742790222168,190.36634826660156,0.9998524188995361
7,127.11949920654297,79.41573333740234,0.9999998807907104,139.46104431152344,76.6926040649414,0.0002719470940064639,203.82920837402344,71.5969467163086,1.0,102.69352722167969,159.72337341308594,0.000657734228298068,211.35816955566406,178.22842407226562,1.0,150.79017639160156,109.0799331665039,1.0,123.7418441772461,141.3070831298828,0.9997727274894714,145.52647399902344,142.587646484375,0.9998821020126343,143.00888061523438,191.6313934326172,0.9999717473983765,104.0932846069336,167.2659454345703,0.998744010925293,31.36109161376953,89.25801849365234,0.9999992847442627,29.859010696411133,141.00985717773438,0.9999974966049194,43.17371368408203,162.55746459960938,0.9999958276748657,60.376220703125,158.0157470703125,0.9935006499290466,41.242061614990234,187.10281372070312,0.9999891519546509,84.67575073242188,176.10374450683594,0.8190217018127441
