scorer,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,27.946290969848633,69.36738586425781,0.0003548701643012464,43.463134765625,65.23499298095703,1.0,2.998216152191162,88.78079986572266,0.012066885828971863,20.66960334777832,79.87895202636719,1.0,14.081871032714844,93.35631561279297,0.9999998807907104,54.016204833984375,103.93959045410156,0.9999998807907104,86.5512924194336,163.63894653320312,0.9999998807907104,77.971435546875,161.43707275390625,0.9999986886978149,68.15321350097656,209.49761962890625,0.9999979734420776,63.31909942626953,203.13197326660156,0.9999072551727295,153.72097778320312,66.2449722290039,1.0,234.11453247070312,91.75037384033203,0.9999998807907104,128.77157592773438,130.8107147216797,0.9999998807907104,140.05763244628906,139.5216064453125,0.9999998807907104,150.31997680664062,203.6355438232422,0.9860775470733643,154.28138732910156,205.80307006835938,0.9999961853027344
1,28.072664260864258,69.16078186035156,0.00031311274506151676,43.535518646240234,65.2994613647461,1.0,2.8327317237854004,88.68463897705078,0.009702606126666069,20.74151039123535,79.61348724365234,1.0,14.120805740356445,93.08187866210938,0.9999998807907104,53.86515426635742,103.80218505859375,0.9999998807907104,88.36650085449219,164.0673065185547,0.999998927116394,78.16866302490234,160.2562713623047,0.9999991655349731,71.56473541259766,209.89564514160156,0.9999973773956299,65.4312744140625,203.64138793945312,0.9998576641082764,153.41111755371094,65.87764739990234,1.0,234.84996032714844,89.78866577148438,0.9999998807907104,128.46710205078125,131.0027618408203,1.0,141.6568603515625,139.27401733398438,0.9999998807907104,151.1815185546875,203.4074249267578,0.9970316886901855,156.5055389404297,205.6541290283203,0.9999985694885254
2,34.479366302490234,70.16818237304688,0.00035347192897461355,43.602088928222656,68.28742980957031,1.0,2.950883626937866,89.59516906738281,0.020313095301389694,21.2694034576416,82.59280395507812,1.0,12.691299438476562,95.31581115722656,1.0,53.24425506591797,107.0257568359375,1.0,93.88555145263672,165.44467163085938,0.9999998807907104,80.44229125976562,159.66806030273438,0.9999996423721313,79.3841552734375,206.578369140625,1.0,62.875144958496094,197.70169067382812,0.9999997615814209,152.91758728027344,66.09833526611328,1.0,234.09109497070312,86.71672821044922,0.9999998807907104,126.6811294555664,136.51084899902344,1.0,144.93511962890625,143.5078582763672,1.0,143.43345642089844,202.83883666992188,0.9999992847442627,168.25918579101562,206.7134552001953,0.9999998807907104
3,34.39213180541992,71.52061462402344,0.000286756461719051,43.978328704833984,70.83128356933594,1.0,2.777069568634033,90.78775787353516,0.03064633160829544,20.695497512817383,85.32035064697266,1.0,12.268147468566895,98.16095733642578,1.0,53.2248420715332,110.12045288085938,1.0,93.94580841064453,164.6352996826172,1.0,79.1136245727539,165.52456665039062,0.9999998807907104,82.86446380615234,206.56735229492188,1.0,58.98419952392578,195.48486328125,0.9999998807907104,152.2379913330078,68.315185546875,1.0,232.3397979736328,86.88526153564453,1.0,126.47420501708984,137.29678344726562,1.0,146.82888793945312,145.63507080078125,1.0,140.59054565429688,206.08917236328125,0.9999998807907104,174.0265655517578,206.44105529785156,1.0
4,27.955032348632812,73.74913787841797,0.0002153009845642373,44.92237091064453,74.33789825439453,1.0,2.9971070289611816,92.51497650146484,0.026866743341088295,21.550174713134766,88.84600067138672,1.0,12.903346061706543,102.10643005371094,1.0,54.758544921875,114.66089630126953,1.0,96.46110534667969,164.80410766601562,1.0,77.3940658569336,175.2622833251953,0.9999998807907104,87.4787826538086,207.90145874023438,1.0,56.86616897583008,196.14556884765625,0.9999998807907104,151.89476013183594,71.520751953125,1.0,231.0562286376953,88.44499969482422,1.0,127.22278594970703,140.04388427734375,1.0,149.31483459472656,148.02207946777344,1.0,135.5581817626953,206.93646240234375,1.0,176.48191833496094,206.53509521484375,1.0
5,26.905221939086914,76.21250915527344,0.00022185676789376885,44.861236572265625,77.37925720214844,1.0,2.8819186687469482,94.9034652709961,0.02056349813938141,21.755386352539062,91.72086334228516,1.0,13.151302337646484,105.03558349609375,0.9999998807907104,55.1193733215332,117.88153076171875,1.0,97.65609741210938,164.03416442871094,1.0,73.933837890625,178.51914978027344,1.0,90.25312042236328,207.66685485839844,0.9999997615814209,53.468727111816406,197.94053649902344,0.9999995231628418,150.65216064453125,74.48683166503906,1.0,230.0396728515625,89.29530334472656,1.0,128.39132690429688,144.08180236816406,0.9999998807907104,151.01632690429688,150.55348205566406,1.0,131.3526153564453,206.40432739257812,0.9999998807907104,177.4352569580078,206.462158203125,1.0
6,27.462522506713867,74.01487731933594,0.0001996434439206496,44.914642333984375,73.34440612792969,1.0,3.07904314994812,92.58958435058594,0.02884269692003727,21.670856475830078,88.95033264160156,1.0,13.120814323425293,102.23704528808594,1.0,55.53730392456055,115.5020523071289,1.0,96.77738952636719,163.54371643066406,0.9999998807907104,75.58778381347656,179.17755126953125,0.9999998807907104,91.55467224121094,205.9287872314453,0.9999997615814209,54.82548904418945,199.2216796875,0.9999991655349731,151.67921447753906,71.6741943359375,1.0,232.8954315185547,88.7582015991211,0.9999998807907104,127.20018768310547,139.4618377685547,1.0,150.21507263183594,146.40357971191406,1.0,135.59239196777344,206.68923950195312,0.9999997615814209,174.84901428222656,206.75210571289062,0.9999998807907104
7,27.915945053100586,69.37930297851562,0.00023589930788148195,43.48906326293945,66.08749389648438,1.0,3.2203102111816406,88.72128295898438,0.014166703447699547,20.74439239501953,80.2523422241211,1.0,14.1256742477417,93.23149108886719,0.9999998807907104,54.39065170288086,105.30877685546875,1.0,89.29539489746094,164.33555603027344,0.9999996423721313,78.16993713378906,164.63455200195312,0.9999997615814209,73.54444885253906,210.95684814453125,0.9999932050704956,63.55789566040039,204.7709503173828,0.9999969005584717,153.8595428466797,64.77168273925781,1.0,234.98358154296875,95.56507873535156,0.9999990463256836,128.9796905517578,130.7410430908203,0.9999998807907104,141.92767333984375,137.6453857421875,0.9999997615814209,146.224365234375,203.44265747070312,0.9999262094497681,158.49595642089844,203.59912109375,0.9998015761375427
