scorer,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,126.55146026611328,15.172557830810547,0.9999995231628418,120.08383178710938,6.4521942138671875,0.9999997615814209,126.95055389404297,22.67061424255371,0.026054246351122856,115.15928649902344,25.76674461364746,1.0,105.68990325927734,41.372501373291016,1.0,154.63136291503906,110.54269409179688,0.9999998807907104,155.66844177246094,194.39585876464844,0.9999985694885254,158.2216796875,198.8441162109375,0.9999988079071045,151.9656219482422,241.08404541015625,0.9999924898147583,157.61016845703125,243.0604705810547,0.9999951124191284,198.2357177734375,138.14198303222656,1.0,202.86875915527344,195.81654357910156,1.0,186.25924682617188,203.7814483642578,0.9999984502792358,192.44309997558594,206.76425170898438,0.9999979734420776,175.6222381591797,240.36190795898438,0.9999992847442627,190.20896911621094,242.86795043945312,0.9999994039535522
1,126.4357681274414,15.165873527526855,0.9999996423721313,120.10235595703125,6.436661720275879,0.9999997615814209,126.97705078125,22.523283004760742,0.023256612941622734,115.06847381591797,25.53500747680664,1.0,105.25496673583984,40.710025787353516,0.9999998807907104,154.57676696777344,110.5500717163086,0.9999998807907104,155.67236328125,194.42141723632812,0.9999986886978149,158.22633361816406,198.87953186035156,0.9999988079071045,151.94784545898438,241.07247924804688,0.9999927282333374,157.60972595214844,243.03961181640625,0.9999951124191284,198.2373809814453,138.13462829589844,1.0,202.8564910888672,195.79434204101562,1.0,186.26730346679688,203.75326538085938,0.9999984502792358,192.44680786132812,206.7342987060547,0.9999980926513672,175.6232147216797,240.33839416503906,0.9999992847442627,190.23043823242188,242.86587524414062,0.9999994039535522
2,126.29684448242188,14.938267707824707,0.9999995231628418,120.04686737060547,6.2386651039123535,0.9999996423721313,126.99811553955078,22.426366806030273,0.025053150951862335,114.7409896850586,25.61403465270996,1.0,104.73567962646484,40.85884094238281,0.9999998807907104,154.57188415527344,110.50082397460938,0.9999998807907104,155.66969299316406,194.453857421875,0.9999985694885254,158.2247314453125,198.89083862304688,0.9999988079071045,151.95925903320312,241.063720703125,0.9999924898147583,157.62522888183594,243.05140686035156,0.9999949932098389,198.22137451171875,138.10549926757812,1.0,202.8341827392578,195.78944396972656,1.0,186.26889038085938,203.7637481689453,0.9999984502792358,192.44277954101562,206.7462158203125,0.9999980926513672,175.63424682617188,240.3563690185547,0.9999992847442627,190.22132873535156,242.8657684326172,0.9999994039535522
3,126.05975341796875,14.974477767944336,0.9999995231628418,119.70270538330078,6.281004905700684,0.9999997615814209,122.05984497070312,23.034454345703125,0.026023412123322487,114.48155975341797,25.633108139038086,1.0,104.63628387451172,40.695152282714844,0.9999998807907104,154.53370666503906,110.55764770507812,0.9999998807907104,155.66746520996094,194.42739868164062,0.9999986886978149,158.22132873535156,198.87408447265625,0.9999988079071045,151.96633911132812,241.0702667236328,0.9999924898147583,157.61334228515625,243.05404663085938,0.9999951124191284,198.22906494140625,138.1197052001953,1.0,202.8282928466797,195.7921600341797,1.0,186.2741241455078,203.7513427734375,0.9999984502792358,192.4429473876953,206.74533081054688,0.9999980926513672,175.62355041503906,240.36581420898438,0.9999992847442627,190.230224609375,242.86917114257812,0.9999994039535522
4,125.89556884765625,15.03622817993164,0.9999994039535522,119.46890258789062,6.469780445098877,0.9999997615814209,121.9629135131836,23.116186141967773,0.02357764169573784,114.07695007324219,25.880556106567383,1.0,104.2549819946289,40.68943405151367,1.0,154.49227905273438,110.5380630493164,0.9999998807907104,155.6565704345703,194.43411254882812,0.9999986886978149,158.20143127441406,198.8824005126953,0.9999988079071045,151.94923400878906,241.06790161132812,0.9999924898147583,157.61033630371094,243.05638122558594,0.9999951124191284,198.22711181640625,138.10511779785156,1.0,202.82864379882812,195.78854370117188,1.0,186.2376708984375,203.74374389648438,0.9999984502792358,192.433837890625,206.745849609375,0.9999980926513672,175.60292053222656,240.3568115234375,0.9999992847442627,190.22483825683594,242.87802124023438,0.9999994039535522
5,125.66211700439453,15.055754661560059,0.9999994039535522,119.2251968383789,6.424848556518555,0.9999997615814209,121.83639526367188,23.12005615234375,0.022433653473854065,113.91132354736328,25.702341079711914,1.0,104.3580551147461,40.436126708984375,1.0,154.44264221191406,110.4466781616211,0.9999998807907104,155.66258239746094,194.42340087890625,0.9999985694885254,158.2025146484375,198.86557006835938,0.9999988079071045,151.9551544189453,241.0658721923828,0.9999924898147583,157.61795043945312,243.06497192382812,0.9999951124191284,198.20916748046875,138.07388305664062,1.0,202.83009338378906,195.78225708007812,1.0,186.24264526367188,203.71192932128906,0.9999984502792358,192.4468536376953,206.72642517089844,0.9999980926513672,175.6134796142578,240.35964965820312,0.9999992847442627,190.23289489746094,242.8773193359375,0.9999994039535522
6,127.64984893798828,16.361574172973633,0.9999994039535522,119.00813293457031,6.462499141693115,0.9999997615814209,121.86878967285156,23.13652229309082,0.023295465856790543,113.76964569091797,25.743106842041016,1.0,104.25311279296875,40.38074493408203,1.0,154.4012908935547,110.44375610351562,0.9999998807907104,155.66871643066406,194.38995361328125,0.9999985694885254,158.2010040283203,198.83572387695312,0.9999988079071045,151.97573852539062,241.05999755859375,0.9999923706054688,157.6343994140625,243.0515594482422,0.9999951124191284,198.21038818359375,138.0730743408203,1.0,202.83169555664062,195.7808380126953,1.0,186.25033569335938,203.724609375,0.9999984502792358,192.453369140625,206.74266052246094,0.9999979734420776,175.61322021484375,240.36273193359375,0.9999992847442627,190.24642944335938,242.87173461914062,0.9999994039535522
7,127.56649780273438,16.411930084228516,0.9999992847442627,118.92051696777344,6.560113906860352,0.9999998807907104,121.9039306640625,23.15652847290039,0.024905821308493614,113.53379821777344,25.88251304626465,1.0,103.92247772216797,40.46881866455078,1.0,154.380126953125,110.45762634277344,0.9999998807907104,155.6656494140625,194.38612365722656,0.9999985694885254,158.19895935058594,198.8321533203125,0.9999988079071045,151.9746856689453,241.05369567871094,0.9999922513961792,157.6374969482422,243.0518341064453,0.9999951124191284,198.2137908935547,138.07098388671875,1.0,202.82913208007812,195.7816162109375,1.0,186.2501678466797,203.71871948242188,0.9999984502792358,192.45492553710938,206.74270629882812,0.9999979734420776,175.6107177734375,240.35777282714844,0.9999992847442627,190.2413787841797,242.8683624267578,0.9999994039535522
