scorer,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,63.63323974609375,78.91907501220703,0.9999994039535522,72.695068359375,75.0487289428711,1.0,55.39935302734375,96.55461883544922,0.019181910902261734,63.13177490234375,98.7637710571289,1.0,46.361900329589844,94.27655792236328,0.9999998807907104,56.54912185668945,118.42059326171875,1.0,75.18671417236328,159.18421936035156,0.9999839067459106,106.15894317626953,160.41371154785156,0.9997379183769226,55.620567321777344,176.87034606933594,0.9614790678024292,49.780853271484375,176.5686492919922,0.9999947547912598,179.7957763671875,119.92251586914062,0.9999991655349731,226.29580688476562,119.71451568603516,1.0,182.24644470214844,156.0947723388672,0.9998445510864258,151.5471954345703,163.76483154296875,0.9999964237213135,179.71482849121094,164.8000030517578,0.9999631643295288,151.7158203125,172.29466247558594,0.9992470741271973
1,63.63323974609375,78.91907501220703,0.9999994039535522,72.695068359375,75.0487289428711,1.0,55.39935302734375,96.55461883544922,0.019181910902261734,63.13177490234375,98.7637710571289,1.0,46.361900329589844,94.27655792236328,0.9999998807907104,56.54912185668945,118.42059326171875,1.0,75.18671417236328,159.18421936035156,0.9999839067459106,106.15894317626953,160.41371154785156,0.9997379183769226,55.620567321777344,176.87034606933594,0.9614790678024292,49.780853271484375,176.5686492919922,0.9999947547912598,179.7957763671875,119.92251586914062,0.9999991655349731,226.29580688476562,119.71451568603516,1.0,182.24644470214844,156.0947723388672,0.9998445510864258,151.5471954345703,163.76483154296875,0.9999964237213135,179.71482849121094,164.8000030517578,0.9999631643295288,151.7158203125,172.29466247558594,0.9992470741271973
2,66.68447875976562,78.31861114501953,0.9999998807907104,75.43415069580078,75.52025604248047,1.0,151.58827209472656,154.1184844970703,0.20824308693408966,65.66722106933594,100.88814544677734,1.0,49.023033142089844,96.93168640136719,0.9999996423721313,61.65422821044922,120.12175750732422,1.0,83.91361999511719,163.90675354003906,0.9999995231628418,92.59573364257812,164.93438720703125,0.987052857875824,71.19307708740234,174.55775451660156,0.9999583959579468,65.85728454589844,180.03939819335938,0.9982836246490479,181.80044555664062,112.6092758178711,0.9999885559082031,234.82949829101562,123.2121810913086,0.9999624490737915,180.6367645263672,148.31719970703125,0.9647165536880493,150.3911590576172,160.66372680664062,0.7209850549697876,180.1240234375,156.23358154296875,0.9969762563705444,160.0682830810547,170.3489990234375,0.46940383315086365
3,66.68447875976562,78.31861114501953,0.9999998807907104,75.43415069580078,75.52025604248047,1.0,151.58827209472656,154.1184844970703,0.20824308693408966,65.66722106933594,100.88814544677734,1.0,49.023033142089844,96.93168640136719,0.9999996423721313,61.65422821044922,120.12175750732422,1.0,83.91361999511719,163.90675354003906,0.9999995231628418,92.59573364257812,164.93438720703125,0.987052857875824,71.19307708740234,174.55775451660156,0.9999583959579468,65.85728454589844,180.03939819335938,0.9982836246490479,181.80044555664062,112.6092758178711,0.9999885559082031,234.82949829101562,123.2121810913086,0.9999624490737915,180.6367645263672,148.31719970703125,0.9647165536880493,150.3911590576172,160.66372680664062,0.7209850549697876,180.1240234375,156.23358154296875,0.9969762563705444,160.0682830810547,170.3489990234375,0.46940383315086365
4,60.65218734741211,76.55821228027344,0.9999997615814209,70.83013916015625,73.17681121826172,0.9999998807907104,54.16666030883789,95.20899200439453,0.05628723278641701,61.94681930541992,97.19615173339844,1.0,44.66632843017578,93.8238754272461,0.9999997615814209,55.72844696044922,117.59490203857422,1.0,88.86442565917969,161.72488403320312,0.9996426105499268,109.80577087402344,159.7764892578125,0.9998537302017212,88.31737518310547,173.83905029296875,0.9999994039535522,109.7372817993164,172.41458129882812,0.9999254941940308,182.22166442871094,110.05769348144531,0.9999865293502808,227.7644805908203,128.1209259033203,0.9979301691055298,173.88241577148438,155.2030792236328,0.99997878074646,150.95419311523438,155.088134765625,0.9982860684394836,171.4829559326172,173.21185302734375,0.9999924898147583,167.56536865234375,172.18287658691406,0.7893468141555786
5,60.65218734741211,76.55821228027344,0.9999997615814209,70.83013916015625,73.17681121826172,0.9999998807907104,54.16666030883789,95.20899200439453,0.05628723278641701,61.94681930541992,97.19615173339844,1.0,44.66632843017578,93.8238754272461,0.9999997615814209,55.72844696044922,117.59490203857422,1.0,88.86442565917969,161.72488403320312,0.9996426105499268,109.80577087402344,159.7764892578125,0.9998537302017212,88.31737518310547,173.83905029296875,0.9999994039535522,109.7372817993164,172.41458129882812,0.9999254941940308,182.22166442871094,110.05769348144531,0.9999865293502808,227.7644805908203,128.1209259033203,0.9979301691055298,173.88241577148438,155.2030792236328,0.99997878074646,150.95419311523438,155.088134765625,0.9982860684394836,171.4829559326172,173.21185302734375,0.9999924898147583,167.56536865234375,172.18287658691406,0.7893468141555786
6,59.60502243041992,77.83537292480469,0.9999997615814209,70.5757827758789,73.63038635253906,1.0,49.01869201660156,95.85160064697266,0.002899463754147291,60.048980712890625,96.04761505126953,1.0,44.0949821472168,92.9228744506836,0.9999998807907104,56.943153381347656,115.72493743896484,1.0,84.278564453125,154.97320556640625,1.0,105.47924041748047,157.61387634277344,0.9999992847442627,67.50529479980469,162.6278076171875,1.0,115.58744049072266,173.3554229736328,1.0,176.7990264892578,121.36479187011719,1.0,236.8962860107422,124.64871978759766,0.9999998807907104,172.8796844482422,161.29623413085938,1.0,142.8588409423828,159.92294311523438,0.9999994039535522,175.33316040039062,173.70870971679688,0.9999998807907104,136.43917846679688,177.25840759277344,0.9999998807907104
7,59.60502243041992,77.83537292480469,0.9999997615814209,70.5757827758789,73.63038635253906,1.0,49.01869201660156,95.85160064697266,0.002899463754147291,60.048980712890625,96.04761505126953,1.0,44.0949821472168,92.9228744506836,0.9999998807907104,56.943153381347656,115.72493743896484,1.0,84.278564453125,154.97320556640625,1.0,105.47924041748047,157.61387634277344,0.9999992847442627,67.50529479980469,162.6278076171875,1.0,115.58744049072266,173.3554229736328,1.0,176.7990264892578,121.36479187011719,1.0,236.8962860107422,124.64871978759766,0.9999998807907104,172.8796844482422,161.29623413085938,1.0,142.8588409423828,159.92294311523438,0.9999994039535522,175.33316040039062,173.70870971679688,0.9999998807907104,136.43917846679688,177.25840759277344,0.9999998807907104
