scorer,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000,DLC_effnet_b0_MBTI DatabaseNov24shuffle0_30000
bodyparts,earr,earr,earr,earl,earl,earl,eyer,eyer,eyer,eyel,eyel,eyel,nose,nose,nose,throat,throat,throat,elbowr,elbowr,elbowr,elbowl,elbowl,elbowl,handr,handr,handr,handl,handl,handl,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,kneer,kneer,kneer,kneel,kneel,kneel,ankler,ankler,ankler,anklel,anklel,anklel
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,158.27256774902344,131.78746032714844,0.9999997615814209,174.89056396484375,112.33106994628906,0.022673076018691063,180.1942596435547,119.09449005126953,1.0,187.25880432128906,119.03089141845703,0.002662839600816369,189.99856567382812,126.15157318115234,1.0,171.86019897460938,136.77110290527344,1.0,128.86361694335938,197.81661987304688,0.9999998807907104,130.01841735839844,202.86341857910156,0.9999998807907104,109.37460327148438,216.36178588867188,0.9999992847442627,135.2305908203125,229.11163330078125,0.9999997615814209,62.486572265625,127.50460815429688,0.9999996423721313,60.39897537231445,127.13157653808594,0.9999992847442627,82.42695617675781,192.53463745117188,0.9999996423721313,55.208526611328125,183.03724670410156,1.0,98.67243194580078,219.9300537109375,0.9999996423721313,51.46045684814453,223.306396484375,0.9999997615814209
1,159.55384826660156,134.9279327392578,0.9999991655349731,179.96202087402344,120.79220581054688,0.0016596484929323196,180.5758514404297,122.53385162353516,1.0,189.83311462402344,121.54546356201172,0.008020646870136261,190.6533203125,131.27618408203125,1.0,172.90127563476562,140.0279541015625,1.0,136.7978515625,195.92555236816406,0.9999957084655762,131.56320190429688,203.11390686035156,0.9999924898147583,111.71643829345703,223.2935028076172,0.9999964237213135,130.02601623535156,230.47296142578125,0.9999924898147583,64.08292388916016,130.5496826171875,0.999997615814209,60.79275894165039,135.18109130859375,0.9999929666519165,83.36404418945312,193.2140655517578,0.9999644756317139,49.46285629272461,182.30458068847656,0.9999998807907104,98.32498931884766,222.79342651367188,0.9998908042907715,36.61370086669922,222.5210418701172,0.9999849796295166
2,159.45704650878906,128.94386291503906,0.9999997615814209,126.6166000366211,28.35727310180664,0.001143622794188559,179.27854919433594,118.0162353515625,1.0,190.04685974121094,119.30840301513672,0.001783739309757948,190.3694305419922,131.7500762939453,1.0,171.4248504638672,136.51486206054688,1.0,146.514892578125,192.83163452148438,1.0,122.27703094482422,198.4829559326172,0.9999955892562866,151.1594696044922,225.093505859375,0.9999916553497314,123.97267150878906,232.62547302246094,0.9999908208847046,64.64112091064453,124.3404312133789,0.9999995231628418,63.55304718017578,123.27537536621094,0.9999994039535522,77.55748748779297,194.96954345703125,0.9999831914901733,53.190242767333984,172.1913299560547,0.9999986886978149,96.19892120361328,225.09458923339844,0.9999995231628418,45.933475494384766,216.9459228515625,0.9999905824661255
3,160.04002380371094,126.97277069091797,0.9999997615814209,116.32882690429688,227.45294189453125,0.0007961057126522064,179.02874755859375,119.0528564453125,1.0,189.85693359375,119.48553466796875,0.0046846806071698666,189.98678588867188,134.1680908203125,1.0,172.20774841308594,136.55113220214844,1.0,149.9603729248047,190.17372131347656,1.0,118.06041717529297,194.51324462890625,0.9999997615814209,160.70477294921875,224.40870666503906,1.0,117.41455078125,230.722900390625,0.9999998807907104,65.53302764892578,118.30923461914062,1.0,64.2498550415039,117.78947448730469,0.9999998807907104,76.06317901611328,191.42132568359375,0.9999991655349731,57.807926177978516,168.7113494873047,0.9999998807907104,86.60591125488281,225.40676879882812,1.0,52.55464553833008,209.11151123046875,0.9999997615814209
4,158.2739715576172,126.98526763916016,0.9999984502792358,125.97000122070312,28.414257049560547,0.03889142721891403,178.6609649658203,114.67989349365234,1.0,187.64474487304688,117.27131652832031,0.0014790291897952557,188.71583557128906,126.67511749267578,0.9999998807907104,171.52947998046875,131.86959838867188,1.0,145.19105529785156,193.82156372070312,0.9999866485595703,121.3953857421875,195.09446716308594,0.9999812841415405,160.4576416015625,225.5216064453125,0.9999998807907104,115.55146026611328,229.7146453857422,0.9999998807907104,64.08136749267578,120.8486328125,0.9999998807907104,61.39503479003906,120.26286315917969,0.9999977350234985,77.96794128417969,186.87567138671875,0.9999256134033203,62.3189811706543,171.46112060546875,0.9999995231628418,80.52143859863281,225.2105712890625,0.9887316823005676,63.18472671508789,218.7640380859375,0.9999997615814209
5,156.66160583496094,125.57172393798828,0.9999997615814209,175.37696838378906,108.48821258544922,0.0056135086342692375,178.78465270996094,113.14978790283203,1.0,181.3078155517578,117.12380981445312,0.005521346814930439,188.5903778076172,121.69751739501953,1.0,172.0247039794922,130.87852478027344,1.0,141.3500518798828,191.0216522216797,0.9999985694885254,119.69144439697266,193.37777709960938,0.9998382329940796,155.80245971679688,227.06857299804688,1.0,113.47494506835938,229.45425415039062,0.9999961853027344,64.48969268798828,120.5320053100586,0.9999996423721313,60.63190841674805,120.64742279052734,0.9999984502792358,82.69815826416016,187.2393035888672,0.9992456436157227,65.94110870361328,176.59622192382812,0.9999991655349731,81.15337371826172,226.26429748535156,0.9903122186660767,68.82115173339844,223.0612335205078,0.9999960660934448
6,157.9381866455078,125.83702850341797,0.9999996423721313,179.3426971435547,108.2898178100586,0.008319557644426823,179.38409423828125,115.6395263671875,1.0,186.9171142578125,116.43728637695312,0.006615941412746906,189.24783325195312,125.3329086303711,1.0,171.4852294921875,132.64260864257812,1.0,136.6005096435547,192.14906311035156,0.9999953508377075,128.85205078125,195.16217041015625,0.9993798732757568,148.8330078125,228.67713928222656,0.9999966621398926,106.22955322265625,227.19410705566406,0.999974250793457,63.42387008666992,121.38346099853516,0.9999996423721313,60.923728942871094,121.56394958496094,0.9999985694885254,83.86397552490234,190.11624145507812,0.9999945163726807,65.8460922241211,178.31634521484375,0.9999994039535522,85.54704284667969,224.76724243164062,0.9991393089294434,61.880882263183594,222.40570068359375,0.9999861717224121
7,158.87008666992188,128.47608947753906,0.9999990463256836,178.85865783691406,110.9930419921875,0.011253890581429005,179.69827270507812,117.35941314697266,1.0,188.2266082763672,118.11473083496094,0.012776600196957588,190.36105346679688,127.33575439453125,1.0,172.3565673828125,134.40087890625,1.0,131.62008666992188,194.60813903808594,0.9999997615814209,130.86581420898438,200.2039031982422,0.9999996423721313,112.65454864501953,216.7045135498047,0.9999947547912598,135.53277587890625,229.33555603027344,0.999998927116394,63.70227813720703,124.78178405761719,0.9999990463256836,61.389007568359375,124.08255004882812,0.9999985694885254,82.6495132446289,189.02566528320312,0.9999935626983643,58.18403625488281,176.2420196533203,0.9999998807907104,99.72570037841797,220.52931213378906,0.9999741315841675,51.93330001831055,220.72137451171875,0.9999955892562866
