throat.y,throat.z,throat.x,eyer.y,eyer.z,eyer.x,eyer.y,eyer.z,eyer.x,eyel.y,eyel.z,eyel.x,eyel.y,eyel.z,eyel.x,throat.y,throat.z,throat.x,elbowr.y,elbowr.z,elbowr.x,throat.y,throat.z,throat.x,elbowl.y,elbowl.z,elbowl.x,throat.y,throat.z,throat.x,tailbase.y,tailbase.z,tailbase.x,tailbase.y,tailbase.z,tailbase.x,kneer.y,kneer.z,kneer.x,tailbase.y,tailbase.z,tailbase.x,kneel.y,kneel.z,kneel.x,time
0.0,-65.34852213607007,0.0,180.0,-33.129056020370854,0.0,0.0,1.0865129277651973,0.0,0.0,-70.53611162358682,0.0,180.0,58.98617496972323,0.0,180.0,28.63224780726125,0.0,0.0,72.35713772397347,0.0,nan,nan,0.0,nan,nan,0.0,180.0,-19.504080545370865,0.0,179.99999914622637,59.58253081594208,0.0,180.0,75.01488282065097,0.0,180.0,84.09515176745677,0.0,0.0,64.85498262018272,0.0,nan,nan,0.0,0.0
0.0,-65.23418370610588,0.0,179.99999914622637,-32.81505380580222,0.0,8.537736462515939e-07,-0.5632865598981636,0.0,0.0,-71.26567785362607,0.0,179.99999914622637,62.69221535200669,0.0,180.0,25.728360002779674,0.0,0.0,73.66363978237918,0.0,179.99999914622637,84.65667873362634,0.0,0.0,53.92158537870232,0.0,180.0,-20.717460520288718,0.0,180.0,58.24208538957044,0.0,180.0,73.58874038992953,0.0,180.0,82.33603867561116,0.0,0.0,66.77990305228057,0.0,nan,nan,0.0,0.016666666666666666
0.0,-66.35651735062217,0.0,179.99999914622637,-34.11129889673528,0.0,8.537736462515939e-07,-1.8496216690578013,0.0,0.0,-71.89987164381832,0.0,180.0,63.669688726810264,0.0,180.0,21.6957402021262,0.0,0.0,74.40147731168494,0.0,180.0,83.12353373826566,0.0,0.0,46.00874636483504,0.0,180.0,-22.928668912209755,0.0,180.0,56.7067526791155,0.0,180.0,71.2348431027384,0.0,180.0,81.59388083036065,0.0,8.537736462515939e-07,69.15501470598292,0.0,nan,nan,0.0,0.03333333333333333
0.0,-65.38704318117944,0.0,180.0,-35.340940522245084,0.0,0.0,-0.6647850614964161,0.0,0.0,-72.51774070255695,0.0,180.0,61.71591724641967,0.0,180.0,20.32554396949886,0.0,0.0,75.40637774848118,0.0,180.0,82.89668450306708,0.0,0.0,32.930921994526,0.0,180.0,-25.025711299003202,0.0,180.0,55.03221190160244,0.0,180.0,68.80586327563441,0.0,180.0,81.46591989096447,0.0,0.0,71.02574186773353,0.0,nan,nan,0.0,0.05
0.0,-65.00718331815993,0.0,180.0,-34.491324256139116,0.0,0.0,-1.1823134157177546,0.0,0.0,-73.50572817547975,0.0,180.0,62.85906793090367,0.0,180.0,16.548104427740235,0.0,0.0,76.3458374333264,0.0,180.0,88.59326745348949,0.0,nan,nan,0.0,180.0,-27.725014158971412,0.0,180.0,54.02654051083245,0.0,179.99999914622637,67.4850101069435,0.0,180.0,79.7428998387145,0.0,0.0,71.6395763736957,0.0,nan,nan,0.0,0.06666666666666667
0.0,-63.71120360676279,0.0,180.0,-32.31426294026688,0.0,0.0,-2.9986191975199326,0.0,0.0,-73.60701047303135,0.0,180.0,63.15951927238138,0.0,180.0,17.59183848256314,0.0,8.537736462515939e-07,78.14646907262488,0.0,0.0,87.5736267204138,0.0,0.0,31.031798105134865,0.0,180.0,-26.578837235724613,0.0,180.0,53.33589324839092,0.0,179.99999914622637,66.5974793905996,0.0,180.0,81.42485711105314,0.0,0.0,72.5486841258227,0.0,nan,nan,0.0,0.08333333333333333
8.537736462515939e-07,-59.79107358944829,0.0,180.0,-30.581821847615164,0.0,8.537736462515939e-07,-4.889202503521784,0.0,0.0,-72.26999482728132,0.0,180.0,65.2677379437966,0.0,180.0,18.641707469403546,0.0,0.0,79.01499814255463,0.0,nan,nan,0.0,nan,nan,0.0,180.0,-26.192606337982436,0.0,180.0,53.62389133987132,0.0,180.0,63.29786185827193,0.0,180.0,82.49303915336918,0.0,0.0,75.7302212209728,0.0,nan,nan,0.0,0.1
0.0,-61.47709981396176,0.0,180.0,-32.774172707114154,0.0,0.0,-3.7838100371445784,0.0,0.0,-67.82790320835694,0.0,180.0,64.8291819639091,0.0,180.0,18.94620168718612,0.0,0.0,79.1953297893798,0.0,0.0,47.560570165935786,0.0,0.0,44.04939360244001,0.0,180.0,-25.915961535560086,0.0,180.0,54.49325231632512,0.0,180.0,62.718433992845284,0.0,nan,nan,0.0,0.0,77.52126784921063,0.0,nan,nan,0.0,0.11666666666666667
0.0,-59.30817714762002,0.0,180.0,-32.20632155894499,0.0,0.0,-3.9340448130253436,0.0,0.0,-63.54023421491338,0.0,180.0,64.85235428582224,0.0,180.0,19.30250445337706,0.0,0.0,79.98248313482524,0.0,0.0,45.591007199747004,0.0,0.0,44.99682036929418,0.0,180.0,-25.416537224521587,0.0,180.0,55.82032730690794,0.0,180.0,64.80879175222705,0.0,nan,nan,0.0,0.0,79.52134259954293,0.0,nan,nan,0.0,0.13333333333333333
0.0,-58.60004299916192,0.0,180.0,-34.355281316033306,0.0,0.0,-2.565845194547903,0.0,0.0,-64.6079301862034,0.0,180.0,62.26339006720238,0.0,180.0,19.882804878812735,0.0,8.537736462515939e-07,80.84296840332338,0.0,0.0,46.588087655188126,0.0,0.0,48.006141717829955,0.0,180.0,-26.341131763319318,0.0,180.0,57.098948767166114,0.0,180.0,65.75485193173591,0.0,180.0,69.74053028801241,0.0,0.0,80.74439104447059,0.0,nan,nan,0.0,0.15
